dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,s3_item_count,DatasetID,Type Subject,10-20 system,modality of exp,type of exp,record_modality
ds003195,20,10,2,19,200,4.654,121.08 MB,126957549,0,ds003195,Parkinson's,10-20,Resting State,Clinical/Intervention,EEG
ds005403,32,32,1,62,10000,13.383,135.65 GB,145656630881,0,,Other,,Auditory,Other,EEG
ds004621,167,42,4,,1000,0.0,77.39 GB,83096459121,0,ds004621,Healthy,,Visual,Decision-making,EEG
ds005863,357,127,4,27,500,0.0,10.59 GB,11371790189,0,,Other,,Visual,Attention,EEG
ds005594,16,16,1,64,1000,12.934,10.89 GB,11695589464,0,,Other,,,Decision making,EEG
ds002336,54,10,6,,5000,0.0,17.98 GB,19300632853,0,ds002336,Healthy,other,Visual,Motor,"EEG, MRI"
ds004043,20,20,1,63,1000,0.0,30.44 GB,32685724275,0,ds004043,Healthy,10-20,Visual,Attention,EEG
ds005106,42,42,1,32,500,0.012,12.62 GB,13547440607,0,ds005106,Healthy,,Visual,Attention,EEG
ds004284,18,18,1,129,1000,9.454,16.49 GB,17703523636,0,ds004284,Healthy,other,Visual,Decision-making,EEG
ds005620,202,21,3,"64,65",5000,21.811,77.30 GB,83002663223,0,,Healthy,,Anesthesia,Clinical/Intervention,EEG
ds002720,165,18,10,19,1000,0.0,2.39 GB,2566221024,0,ds002720,Healthy,10-20,Auditory,Affect,EEG
ds005307,73,7,1,"72,104",10000,1.335,18.59 GB,19956343711,0,,Healthy,,Tactile,Perception,EEG
ds002094,43,20,3,30,5000,18.593,39.45 GB,42356287674,0,ds002094,Healthy,10-20,Resting State,Resting state,"CHANNELS, EEG, EVENTS"
ds002833,80,20,1,257,1000,11.604,39.77 GB,42698182133,0,ds002833,Healthy,10-20,Auditory,Decision-making,"CHANNELS, EEG, ELECTRODES, EVENTS"
ds002218,18,18,1,0,256,16.52,1.95 GB,2089183870,0,ds002218,Healthy,10-20,Multisensory,Perception,EEG
ds005021,36,36,1,64,1024,0.0,83.20 GB,89337424472,0,ds005021,Healthy,,Visual,Attention,EEG
ds004264,21,21,1,31,1000,0.0,3.30 GB,3546307489,0,ds004264,Healthy,10-20,Visual,Learning,EEG
ds004446,237,30,1,129,1000,33.486,29.23 GB,31382984441,0,ds004446,Healthy,other,Visual,Motor,EEG
ds004980,17,17,1,64,"499.9911824,499.9912809,499.991385,499.9914353,499.9914553,499.9915179,499.9917272,499.9917286,499.9917378,499.9919292,499.9919367,499.9923017,499.9923795,500",36.846,15.82 GB,16989514798,0,ds004980,Healthy,,Visual,Perception,EEG
ds002722,94,19,5,32,1000,0.0,6.10 GB,6545819602,0,ds002722,Healthy,10-20,Auditory,Affect,"CHANNELS, EEG, EVENTS"
ds003944,82,82,1,61,"1000,3000.00030000003",6.999,6.15 GB,6606397067,0,ds003944,Schizophrenia/Psychosis,10-20,Resting State,Clinical/Intervention,EEG
ds004279,60,56,1,64,1000,53.729,25.22 GB,27082275780,0,ds004279,Healthy,10-20,Auditory,Perception,EEG
ds005876,29,29,1,32,1000,16.017,7.61 GB,8170007441,0,,Healthy,,Visual,Decision making,"EEG, BEH"
ds003816,1077,48,8,127,1000,159.313,53.97 GB,57953346429,0,ds003816,Healthy,10-20,Other,Affect,EEG
ds005385,3264,608,2,64,1000,169.62,74.07 GB,79529430923,0,,Other,,Resting State,Resting state,EEG
ds004572,516,52,10,58,1000,52.624,43.56 GB,46777273840,0,ds004572,Healthy,10-20,Auditory,Perception,EEG
ds005095,48,48,1,63,1000,16.901,14.28 GB,15336165645,0,ds005095,Healthy,,Visual,Memory,EEG
ds004460,40,20,1,160,1000,27.494,61.36 GB,65881325046,0,ds004460,Healthy,other,Visual,Perception,EEG
ds005189,30,30,1,61,1000,0.0,17.03 GB,18283103870,0,ds005189,Healthy,,Visual,Memory,EEG
ds005274,22,22,1,6,500,0.0,71.91 MB,75400374,0,ds005274,Healthy,,,Other,EEG
ds004075,116,29,4,,1000,0.0,7.39 GB,7936060172,0,ds004075,Healthy,10-20,,Other,EEG
ds004447,418,22,1,"128,129",1000,23.554,20.73 GB,22253514308,0,ds004447,Healthy,other,Visual,Motor,EEG
ds004952,245,10,1,128,1000,123.411,696.72 GB,748095804444,0,ds004952,Healthy,,Visual,Attention,EEG
ds002724,96,10,4,32,1000,0.0,8.52 GB,9150248444,0,ds002724,Healthy,10-20,Auditory,Affect,"CHANNELS, EEG, EVENTS"
ds005571,45,24,2,64,5000,0.0,62.77 GB,67394456730,0,,Healthy,,,Attention,"MRI, EEG"
ds004262,21,21,1,31,1000,0.0,3.48 GB,3731654700,0,ds004262,Healthy,10-20,Visual,Learning,EEG
ds005273,33,33,1,63,1000,58.055,44.42 GB,47690882240,0,ds005273,Healthy,,Visual,Decision-making,EEG
ds004520,33,33,1,62,250,0.055,10.41 GB,11175908145,0,ds004520,Other,10-20,Visual,Memory,EEG
ds004444,465,30,1,129,1000,55.687,48.62 GB,52204973958,0,ds004444,Healthy,other,Visual,Motor,EEG
ds004582,73,73,1,59,10000,34.244,294.22 GB,315915939478,0,ds004582,Healthy,,Visual,Affect,EEG
ds002723,44,8,6,32,1000,0.0,2.60 GB,2791985215,0,ds002723,Healthy,10-20,Auditory,Affect,"CHANNELS, EEG, EVENTS"
ds003751,38,38,1,128,250,19.95,4.71 GB,5057922307,0,ds003751,Healthy,other,Multisensory,Affect,EEG
ds003421,80,20,1,257,1000,11.604,76.77 GB,82433418198,0,ds003421,Healthy,10-20,Multisensory,Decision-making,EEG
ds002158,117,20,1,,,0.0,428.59 GB,460190030981,0,ds002158,Healthy,10-20,Visual,Affect,"MRI, EEG"
ds004951,23,11,1,63,1000,29.563,22.00 GB,23627352274,0,ds004951,Other,,Tactile,Learning,EEG
ds004802,38,38,1,65,"2048,512",0.0,29.34 GB,31504070800,0,ds004802,Other,,Visual,Affect,EEG
ds004816,20,20,1,63,1000,0.0,23.31 GB,25028989553,0,ds004816,Healthy,,Visual,Attention,EEG
ds005873,2850,125,1,2,256,11935.09,117.21 GB,125851664268,0,,Epilepsy,,,Other,EEG
ds003194,29,15,2,"19,21",200,7.178,189.15 MB,198333904,0,ds003194,Parkinson's,10-20,Resting State,Clinical/Intervention,EEG
ds004356,24,22,1,34,10000,0.0,213.08 GB,228796286136,0,ds004356,Healthy,10-20,Auditory,Perception,EEG
ds004381,437,18,1,"4,5,7,8,10",20000,11.965,12.36 GB,13275540742,0,ds004381,Surgery,10-20,Other,Other,EEG
ds004196,4,4,1,64,512,1.511,9.33 GB,10022898106,0,ds004196,Healthy,10-20,Visual,Clinical/Intervention,"MRI, EEG"
ds005692,59,30,1,24,5000,112.206,92.81 GB,99649237201,0,,Healthy,,,Perception,EEG
